date,num_search,stock_price
2021-03-21,38,932000
2021-03-28,39,834000
2021-04-04,36,885000
2021-04-11,31,906000
2021-04-18,32,894000
2021-04-25,27,861000
2021-05-02,27,820000
2021-05-09,26,850000
2021-05-16,29,823000
2021-05-23,26,856000
2021-05-30,29,854000
2021-06-06,30,858000
2021-06-13,31,848000
2021-06-20,37,825000
2021-06-27,34,820000
2021-07-04,40,834000
2021-07-11,29,778000
2021-07-18,27,809000
2021-07-25,25,809000
2021-08-01,24,812000
2021-08-08,31,790000
2021-08-15,35,853000
2021-08-22,38,709000
2021-08-29,34,633000
2021-09-05,30,611000
2021-09-12,31,589000
2021-09-19,31,571000
2021-09-26,33,571000
2021-10-03,33,560000
2021-10-10,30,582000
2021-10-17,30,619000
2021-10-24,33,621000
2021-10-31,100,595000
2021-11-07,79,786000
2021-11-14,70,760000
2021-11-21,61,700000
2021-11-28,50,690000
2021-12-05,47,737000
2021-12-12,38,680000
2021-12-19,48,656000
2021-12-26,44,643000
2022-01-02,39,606000
2022-01-09,39,583000
2022-01-16,32,565000
2022-01-23,35,567000
2022-01-30,33,536000
2022-02-06,33,540000
2022-02-13,35,510000
2022-02-20,33,492500
2022-02-27,31,463500
2022-03-06,34,459500
2022-03-13,26,452000
